Qty,Value,Device,Package,Parts,Description,DKPN,,
2,0,R0603,R0603,R14; R18,,541-2779-1-ND,,
6,0.1u,C0603,C0603,C1; C2; C3; C4; C9; C10,,490-1519-1-ND,,
4,100k,R0603,R0603,R12; R13; R16; R17,,RHM100KDCT-ND,,
2,100p,C0603,C0603,C5; C6,,490-4767-1-ND,,
2,10k,R0603,R0603,R25; R26,,RHM10KDCT-ND,,
3,10u,C0603,C0603,C7; C8; C11,,490-7202-1-ND,,
5,200,R0603,R0603,R1; R2; R3; R19; R21,,RHM200DCT-ND,,
2,47k,R0603,R0603,R20; R22,,RHM47KDCT-ND,,
2,576k,R0603,R0603,R11; R15,,311-576KHRCT-ND,,
1,LED,LED,L0805,D1,,475-1410-1-ND,,
1,LM293DT,LM293DT,SOIC8,U2,,497-1566-1-ND,,
2,QRE1113GR,QRE1113GR,REFL,U3; U4,,QRE1113GRCT-ND,,
1,TERM_1X4_0.1,TERM_1X4_0.1,TERM_1X4_0.1,J1,,ED10563-ND,,
